algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
bfs|cuda|jetson_agx_orin|100000x300000|1|1,645728|13,7469|3,9514|OK
bfs|cuda|jetson_agx_orin|100000x300000|2|1,720132|14,7183|4,2594|OK
bfs|cuda|jetson_agx_orin|100000x300000|3|1,530647|13,2613|3,6753|OK
bfs|cuda|jetson_agx_orin|100000x300000|4|1,691752|14,5602|4,062|OK
bfs|cuda|jetson_agx_orin|100000x300000|5|0,195952|1,4904|0,5098|OK
bfs|cuda|jetson_agx_orin|100000x300000|6|1,676061|14,0896|4,1138|OK
bfs|cuda|jetson_agx_orin|100000x300000|7|1,664566|14,2596|3,9966|OK
bfs|cuda|jetson_agx_orin|100000x300000|8|1,779812|15,0951|4,3625|OK
bfs|cuda|jetson_agx_orin|100000x300000|9|1,621009|13,9731|3,892|OK
bfs|cuda|jetson_agx_orin|100000x300000|10|1,823308|15,542|4,378|OK
bfs|cuda|jetson_agx_orin|10000x30000|1|1,186628|8,0315|2,7628|OK
bfs|cuda|jetson_agx_orin|10000x30000|2|1,049517|7,2679|2,5199|OK
bfs|cuda|jetson_agx_orin|10000x30000|3|0,985183|6,8793|2,4971|OK
bfs|cuda|jetson_agx_orin|10000x30000|4|0,197351|1,343|0,5134|OK
bfs|cuda|jetson_agx_orin|10000x30000|5|1,001366|6,8143|2,4043|OK
bfs|cuda|jetson_agx_orin|10000x30000|6|0,992938|6,8887|2,384|OK
bfs|cuda|jetson_agx_orin|10000x30000|7|1,182415|8,0463|2,8821|OK
bfs|cuda|jetson_agx_orin|10000x30000|8|1,199578|8,1631|3,0114|OK
bfs|cuda|jetson_agx_orin|10000x30000|9|1,124864|7,6547|2,7008|OK
bfs|cuda|jetson_agx_orin|10000x30000|10|1,056388|7,2732|2,5364|OK
bfs|cuda|jetson_agx_orin|500000x1000000|1|5,451946|63,2469|11,5661|OK
bfs|cuda|jetson_agx_orin|500000x1000000|2|5,437533|64,1449|11,2828|OK
bfs|cuda|jetson_agx_orin|500000x1000000|3|5,451869|64,225|11,4909|OK
bfs|cuda|jetson_agx_orin|500000x1000000|4|5,47677|64,6744|11,312|OK
bfs|cuda|jetson_agx_orin|500000x1000000|5|0,396809|3,4949|0,953|OK
bfs|cuda|jetson_agx_orin|500000x1000000|6|0,391003|2,8799|0,9388|OK
bfs|cuda|jetson_agx_orin|500000x1000000|7|5,344593|61,9103|11,1745|OK
bfs|cuda|jetson_agx_orin|500000x1000000|8|5,318348|63,734|11,0854|OK
bfs|cuda|jetson_agx_orin|500000x1000000|9|0,140092|1,3181|0,3364|OK
bfs|cuda|jetson_agx_orin|500000x1000000|10|0,129549|1,0372|0,311|OK
bfs|openmp|jetson_agx_orin|100000x300000|1|154,716001|866,9238|1125,5997|OK
bfs|openmp|jetson_agx_orin|100000x300000|2|146,355567|820,0846|1068,5622|OK
bfs|openmp|jetson_agx_orin|100000x300000|3|146,740867|822,2602|1068,8111|OK
bfs|openmp|jetson_agx_orin|100000x300000|4|154,8858|867,9108|1124,721|OK
bfs|openmp|jetson_agx_orin|100000x300000|5|24,022267|134,5986|173,1041|OK
bfs|openmp|jetson_agx_orin|100000x300000|6|154,60999|866,2362|1124,5604|OK
bfs|openmp|jetson_agx_orin|100000x300000|7|162,5917|910,9877|1182,2096|OK
bfs|openmp|jetson_agx_orin|100000x300000|8|154,587764|866,1705|1124,7386|OK
bfs|openmp|jetson_agx_orin|100000x300000|9|162,471731|910,4134|1181,8561|OK
bfs|openmp|jetson_agx_orin|100000x300000|10|146,531056|820,9242|1064,9824|OK
bfs|openmp|jetson_agx_orin|10000x30000|1|13,286171|74,4421|97,5079|OK
bfs|openmp|jetson_agx_orin|10000x30000|2|14,284009|80,0195|103,7502|OK
bfs|openmp|jetson_agx_orin|10000x30000|3|16,124227|90,3279|117,1578|OK
bfs|openmp|jetson_agx_orin|10000x30000|4|14,322299|80,2335|104,2639|OK
bfs|openmp|jetson_agx_orin|10000x30000|5|14,303974|80,1334|104,2175|OK
bfs|openmp|jetson_agx_orin|10000x30000|6|15,45484|86,5856|112,3468|OK
bfs|openmp|jetson_agx_orin|10000x30000|7|13,332259|74,6889|97,3952|OK
bfs|openmp|jetson_agx_orin|10000x30000|8|15,303233|85,7287|111,6904|OK
bfs|openmp|jetson_agx_orin|10000x30000|9|15,084579|84,5038|109,8671|OK
bfs|openmp|jetson_agx_orin|10000x30000|10|14,460104|81,0055|105,8761|OK
bfs|openmp|jetson_agx_orin|500000x1000000|1|1342,658968|7523,4129|9755,0247|OK
bfs|openmp|jetson_agx_orin|500000x1000000|2|39,776199|222,8681|286,3344|OK
bfs|openmp|jetson_agx_orin|500000x1000000|3|1264,092526|7083,2079|9192,4655|OK
bfs|openmp|jetson_agx_orin|500000x1000000|4|1303,772855|7306,6569|9477,8172|OK
bfs|openmp|jetson_agx_orin|500000x1000000|5|39,719493|222,598|285,6729|OK
bfs|openmp|jetson_agx_orin|500000x1000000|6|1342,282399|7522,8933|9746,7785|OK
bfs|openmp|jetson_agx_orin|500000x1000000|7|1303,557011|7305,4375|9467,823|OK
bfs|openmp|jetson_agx_orin|500000x1000000|8|1382,045891|7744,8953|10037,4277|OK
bfs|openmp|jetson_agx_orin|500000x1000000|9|1186,596667|6649,7755|8621,3602|OK
bfs|openmp|jetson_agx_orin|500000x1000000|10|1303,510087|7305,1517|9458,1259|OK
mergesort|cuda|jetson_agx_orin|100|1|0,223141|1,385|1,8766|OK
mergesort|cuda|jetson_agx_orin|100|2|0,222281|1,4239|1,0682|OK
mergesort|cuda|jetson_agx_orin|100|3|0,227762|1,4588|0,8204|OK
mergesort|cuda|jetson_agx_orin|100|4|0,232214|1,4873|0,7435|OK
mergesort|cuda|jetson_agx_orin|100|5|0,223884|1,434|0,6273|OK
mergesort|cuda|jetson_agx_orin|100|6|0,224679|1,4391|0,6296|OK
mergesort|cuda|jetson_agx_orin|100|7|0,21846|1,3992|0,6121|OK
mergesort|cuda|jetson_agx_orin|100|8|0,232525|1,4893|0,6515|OK
mergesort|cuda|jetson_agx_orin|100|9|0,22783|1,4593|0,6384|OK
mergesort|cuda|jetson_agx_orin|100|10|0,228757|1,4652|0,641|OK
mergesort|cuda|jetson_agx_orin|10000|1|5,727336|38,9296|11,7301|OK
mergesort|cuda|jetson_agx_orin|10000|2|5,727588|38,9759|11,5509|OK
mergesort|cuda|jetson_agx_orin|10000|3|5,726855|38,9706|11,0552|OK
mergesort|cuda|jetson_agx_orin|10000|4|5,721777|38,9364|11,4044|OK
mergesort|cuda|jetson_agx_orin|10000|5|5,729262|38,9758|11,1945|OK
mergesort|cuda|jetson_agx_orin|10000|6|5,743973|39,0874|11,1186|OK
mergesort|cuda|jetson_agx_orin|10000|7|5,713722|38,8819|10,9851|OK
mergesort|cuda|jetson_agx_orin|10000|8|5,732955|39,0128|10,676|OK
mergesort|cuda|jetson_agx_orin|10000|9|5,709289|38,8579|10,3296|OK
mergesort|cuda|jetson_agx_orin|10000|10|5,71557|38,8959|10,0378|OK
mergesort|cuda|jetson_agx_orin|100000|1|59,874584|407,4448|99,307|OK
mergesort|cuda|jetson_agx_orin|100000|2|59,909278|407,7397|98,3277|OK
mergesort|cuda|jetson_agx_orin|100000|3|59,814674|407,0541|97,8619|OK
mergesort|cuda|jetson_agx_orin|100000|4|59,772542|406,8056|97,7715|OK
mergesort|cuda|jetson_agx_orin|100000|5|59,939433|407,9187|98,9242|OK
mergesort|cuda|jetson_agx_orin|100000|6|59,853368|407,3069|98,01|OK
mergesort|cuda|jetson_agx_orin|100000|7|59,940692|408,0176|98,1515|OK
mergesort|cuda|jetson_agx_orin|100000|8|59,858876|407,4211|98,4333|OK
mergesort|cuda|jetson_agx_orin|100000|9|59,773757|406,7833|97,9133|OK
mergesort|cuda|jetson_agx_orin|100000|10|59,852689|407,4092|98,3175|OK
mergesort|openmp|jetson_agx_orin|100|1|0,126327|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|2|0,074499|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|3|0,054663|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|4|0,07897|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|5|0,128898|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|6|0,087384|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|7|0,054704|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|8|0,039203|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|9|0,19376|1,0854|1,3955|OK
