nohup: ignoring input
[13:37:28] Hardware detectado: ARCH=sm_89 NTHREADS=32
[13:37:28] Compilando bitonic_cpu
[13:37:28] Compilando bitonic_openmp
[13:37:28] Compilando bitonic_cuda
[13:37:29] Compilando bitonic_cudadp
[13:37:29] Compilando merge_cpu
[13:37:29] Compilando merge_openmp
[13:37:29] Compilando merge_cuda
[13:37:30] Compilando merge_cudadp
[13:37:30] Compilando bfs_cpu
[13:37:30] Compilando bfs_openmp
[13:37:30] Compilando bfs_cuda
[13:37:31] Compilando bfs_cudadp
[13:37:31] Compilando floyd_cpu
[13:37:31] Compilando floyd_openmp
[13:37:31] Compilando floyd_cuda
[13:37:32] Compilando floyd_cudadp
[13:37:32] Executando bitonic_sort|cpu|1024
[13:37:32] Executando bitonic_sort|cpu|4096
[13:37:32] Executando bitonic_sort|cpu|16384
[13:37:33] Executando bitonic_sort|cpu|65536
[13:37:33] Executando bitonic_sort|cpu|262144
[13:37:37] Executando bitonic_sort|cpu|1048576
[13:37:55] Executando bitonic_sort|cpu|4194304
[13:39:15] Executando bitonic_sort|cpu|16777216
[13:45:40] Executando bitonic_sort|cpu|67108864
[14:15:05] Executando bitonic_sort|openmp|1024
[14:15:05] Executando bitonic_sort|openmp|4096
[14:15:05] Executando bitonic_sort|openmp|16384
[14:15:05] Executando bitonic_sort|openmp|65536
[14:15:06] Executando bitonic_sort|openmp|262144
[14:15:07] Executando bitonic_sort|openmp|1048576
[14:15:12] Executando bitonic_sort|openmp|4194304
[14:15:29] Executando bitonic_sort|openmp|16777216
[14:16:47] Executando bitonic_sort|openmp|67108864
[14:24:46] Executando bitonic_sort|cuda|1024
[14:24:47] Executando bitonic_sort|cuda|4096
[14:24:49] Executando bitonic_sort|cuda|16384
[14:24:50] Executando bitonic_sort|cuda|65536
[14:24:51] Executando bitonic_sort|cuda|262144
[14:24:53] Executando bitonic_sort|cuda|1048576
[14:24:56] Executando bitonic_sort|cuda|4194304
[14:25:09] Executando bitonic_sort|cuda|16777216
[14:26:05] Executando bitonic_sort|cuda|67108864
[14:30:22] Executando bitonic_sort|cudadp|1024
[14:30:24] Executando bitonic_sort|cudadp|4096
[14:30:25] Executando bitonic_sort|cudadp|16384
[14:30:27] Executando bitonic_sort|cudadp|65536
[14:30:28] Executando bitonic_sort|cudadp|262144
[14:30:30] Executando bitonic_sort|cudadp|1048576
[14:30:34] Executando bitonic_sort|cudadp|4194304
[14:30:47] Executando bitonic_sort|cudadp|16777216
[14:31:45] Executando bitonic_sort|cudadp|67108864
[14:36:16] Executando merge_sort|cpu|1024
[14:36:16] Executando merge_sort|cpu|4096
[14:36:16] Executando merge_sort|cpu|16384
[14:36:16] Executando merge_sort|cpu|65536
[14:36:17] Executando merge_sort|cpu|262144
[14:36:18] Executando merge_sort|cpu|1048576
[14:36:26] Executando merge_sort|cpu|4194304
[14:37:01] Executando merge_sort|cpu|16777216
[14:39:32] Executando merge_sort|cpu|67108864
[14:50:22] Executando merge_sort|openmp|1024
[14:50:22] Executando merge_sort|openmp|4096
[14:50:22] Executando merge_sort|openmp|16384
[14:50:22] Executando merge_sort|openmp|65536
[14:50:23] Executando merge_sort|openmp|262144
[14:50:23] Executando merge_sort|openmp|1048576
[14:50:26] Executando merge_sort|openmp|4194304
[14:50:38] Executando merge_sort|openmp|16777216
[14:51:26] Executando merge_sort|openmp|67108864
[14:54:47] Executando merge_sort|cuda|1024
[14:54:49] Executando merge_sort|cuda|4096
[14:54:50] Executando merge_sort|cuda|16384
[14:54:52] Executando merge_sort|cuda|65536
[14:54:54] Executando merge_sort|cuda|262144
[14:54:56] Executando merge_sort|cuda|1048576
[14:55:00] Executando merge_sort|cuda|4194304
[14:55:14] Executando merge_sort|cuda|16777216
[14:56:07] Executando merge_sort|cuda|67108864
[14:59:43] Executando merge_sort|cudadp|1024
[14:59:46] Executando merge_sort|cudadp|4096
[14:59:49] Executando merge_sort|cudadp|16384
[14:59:57] Executando merge_sort|cudadp|65536
[15:00:27] Executando merge_sort|cudadp|262144
[15:02:24] Executando merge_sort|cudadp|1048576
[15:10:28] Executando merge_sort|cudadp|4194304
[15:44:28] Executando merge_sort|cudadp|16777216
[18:45:59] Executando merge_sort|cudadp|67108864
[07:56:09] Executando bfs|cpu|1024
[07:56:10] Executando bfs|cpu|4096
[07:56:30] Executando bfs|cpu|16384
[08:01:45] Executando bfs|cpu|65536
[09:24:24] Executando bfs|cpu|262144
[07:08:42] Executando bfs|cpu|1048576
