algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
bfs|cuda|mx350|100000x300000|1|4,846378|0,0|20,49|OK
bfs|cuda|mx350|100000x300000|2|4,830363|0,0|20,69|OK
bfs|cuda|mx350|100000x300000|3|4,924989|0,0|22,03|OK
bfs|cuda|mx350|100000x300000|4|4,784947|0,0|21,23|OK
bfs|cuda|mx350|100000x300000|5|4,864663|0,0|28,32|OK
bfs|cuda|mx350|100000x300000|6|4,777163|0,0|21,35|OK
bfs|cuda|mx350|100000x300000|7|4,873631|0,0|22,48|OK
bfs|cuda|mx350|100000x300000|8|4,945452|0,0|24,64|OK
bfs|cuda|mx350|100000x300000|9|4,865826|0,0|23,05|OK
bfs|cuda|mx350|100000x300000|10|4,87957|0,0|21,59|OK
bfs|cuda|mx350|10000x30000|1|0,694294|0,0|4,9|OK
bfs|cuda|mx350|10000x30000|2|0,567478|0,0|3,78|OK
bfs|cuda|mx350|10000x30000|3|0,55667|0,0|3,78|OK
bfs|cuda|mx350|10000x30000|4|0,544816|0,0|3,32|OK
bfs|cuda|mx350|10000x30000|5|0,56941|0,0|3,49|OK
bfs|cuda|mx350|10000x30000|6|0,564684|0,0|3,2|OK
bfs|cuda|mx350|10000x30000|7|0,630562|0,0|4,59|OK
bfs|cuda|mx350|10000x30000|8|0,544222|0,0|3,77|OK
bfs|cuda|mx350|10000x30000|9|0,582467|0,0|3,95|OK
bfs|cuda|mx350|10000x30000|10|0,561731|0,0|3,65|OK
bfs|cuda|mx350|500000x1000000|1|21,354834|0,0|88,31|OK
bfs|cuda|mx350|500000x1000000|2|21,33804|0,0|91,21|OK
bfs|cuda|mx350|500000x1000000|3|21,42009|0,0|85,58|OK
bfs|cuda|mx350|500000x1000000|4|21,309596|0,0|83,27|OK
bfs|cuda|mx350|500000x1000000|5|0,112103|0,0|1,93|OK
bfs|cuda|mx350|500000x1000000|6|21,365816|0,0|88,39|OK
bfs|cuda|mx350|500000x1000000|7|21,428543|0,0|84,72|OK
bfs|cuda|mx350|500000x1000000|8|21,431705|0,0|107,57|OK
bfs|cuda|mx350|500000x1000000|9|21,401613|0,0|87,3|OK
bfs|cuda|mx350|500000x1000000|10|21,308811|0,0|78,89|OK
bfs|cuda_dp|mx350|100000x300000|1|5,523073|0,0|30,22|OK
bfs|cuda_dp|mx350|100000x300000|2|5,52072|0,0|24,58|OK
bfs|cuda_dp|mx350|100000x300000|3|5,394614|0,0|23,51|OK
bfs|cuda_dp|mx350|100000x300000|4|5,43062|0,0|26,98|OK
bfs|cuda_dp|mx350|100000x300000|5|5,348047|0,0|21,42|OK
bfs|cuda_dp|mx350|100000x300000|6|5,455894|0,0|21,16|OK
bfs|cuda_dp|mx350|100000x300000|7|5,379355|0,0|20,61|OK
bfs|cuda_dp|mx350|100000x300000|8|5,388735|0,0|20,43|OK
bfs|cuda_dp|mx350|100000x300000|9|0,057421|0,0|1,29|OK
bfs|cuda_dp|mx350|100000x300000|10|5,435569|0,0|20,87|OK
bfs|cuda_dp|mx350|10000x30000|1|0,833963|0,0|5,4|OK
bfs|cuda_dp|mx350|10000x30000|2|0,875173|0,0|5,85|OK
bfs|cuda_dp|mx350|10000x30000|3|0,938374|0,0|5,86|OK
bfs|cuda_dp|mx350|10000x30000|4|1,008025|0,0|6,19|OK
bfs|cuda_dp|mx350|10000x30000|5|0,975932|0,0|5,71|OK
bfs|cuda_dp|mx350|10000x30000|6|0,859325|0,0|5,26|OK
bfs|cuda_dp|mx350|10000x30000|7|1,01419|0,0|6,28|OK
bfs|cuda_dp|mx350|10000x30000|8|1,044144|0,0|6,38|OK
bfs|cuda_dp|mx350|10000x30000|9|0,870473|0,0|5,69|OK
bfs|cuda_dp|mx350|10000x30000|10|0,879828|0,0|5,67|OK
bfs|cuda_dp|mx350|500000x1000000|1|0,117934|0,0|1,97|OK
bfs|cuda_dp|mx350|500000x1000000|2|0,118296|0,0|1,82|OK
bfs|cuda_dp|mx350|500000x1000000|3|0,154669|0,0|2,12|OK
bfs|cuda_dp|mx350|500000x1000000|4|22,30971|0,0|86,66|OK
bfs|cuda_dp|mx350|500000x1000000|5|22,298303|0,0|77,19|OK
bfs|cuda_dp|mx350|500000x1000000|6|0,15309|0,0|1,92|OK
bfs|cuda_dp|mx350|500000x1000000|7|22,401477|0,0|85,2|OK
bfs|cuda_dp|mx350|500000x1000000|8|22,277498|0,0|87,73|OK
bfs|cuda_dp|mx350|500000x1000000|9|22,444786|0,0|77,98|OK
bfs|cuda_dp|mx350|500000x1000000|10|22,231636|0,0|83,59|OK
bfs|openmp|mx350|100000x300000|1|88,684662|0,0|465,27|OK
bfs|openmp|mx350|100000x300000|2|95,519694|0,0|499,66|OK
bfs|openmp|mx350|100000x300000|3|91,992706|0,0|442,49|OK
bfs|openmp|mx350|100000x300000|4|89,936544|0,0|432,7|OK
bfs|openmp|mx350|100000x300000|5|90,594894|0,0|437,03|OK
bfs|openmp|mx350|100000x300000|6|92,636465|0,0|447,66|OK
bfs|openmp|mx350|100000x300000|7|107,9429|0,0|520,24|OK
bfs|openmp|mx350|100000x300000|8|93,129961|0,0|450,12|OK
bfs|openmp|mx350|100000x300000|9|88,013324|0,0|423,94|OK
bfs|openmp|mx350|100000x300000|10|93,948904|0,0|450,84|OK
bfs|openmp|mx350|10000x30000|1|9,115483|0,0|46,97|OK
bfs|openmp|mx350|10000x30000|2|9,382549|0,0|48,5|OK
bfs|openmp|mx350|10000x30000|3|9,594718|0,0|49,9|OK
bfs|openmp|mx350|10000x30000|4|8,383524|0,0|43,44|OK
bfs|openmp|mx350|10000x30000|5|8,906043|0,0|45,86|OK
bfs|openmp|mx350|10000x30000|6|0,872288|0,0|4,13|OK
bfs|openmp|mx350|10000x30000|7|9,091498|0,0|46,96|OK
