algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
bfs,cuda,mx350,10000x30000,1,0.694294,0.0000,4.90,OK
bfs,cuda,mx350,10000x30000,2,0.567478,0.0000,3.78,OK
bfs,cuda,mx350,10000x30000,3,0.556670,0.0000,3.78,OK
bfs,cuda,mx350,10000x30000,4,0.544816,0.0000,3.32,OK
bfs,cuda,mx350,10000x30000,5,0.569410,0.0000,3.49,OK
bfs,cuda,mx350,10000x30000,6,0.564684,0.0000,3.20,OK
bfs,cuda,mx350,10000x30000,7,0.630562,0.0000,4.59,OK
bfs,cuda,mx350,10000x30000,8,0.544222,0.0000,3.77,OK
bfs,cuda,mx350,10000x30000,9,0.582467,0.0000,3.95,OK
bfs,cuda,mx350,10000x30000,10,0.561731,0.0000,3.65,OK
bfs,cuda,mx350,100000x300000,1,4.846378,0.0000,20.49,OK
bfs,cuda,mx350,100000x300000,2,4.830363,0.0000,20.69,OK
bfs,cuda,mx350,100000x300000,3,4.924989,0.0000,22.03,OK
bfs,cuda,mx350,100000x300000,4,4.784947,0.0000,21.23,OK
bfs,cuda,mx350,100000x300000,5,4.864663,0.0000,28.32,OK
bfs,cuda,mx350,100000x300000,6,4.777163,0.0000,21.35,OK
bfs,cuda,mx350,100000x300000,7,4.873631,0.0000,22.48,OK
bfs,cuda,mx350,100000x300000,8,4.945452,0.0000,24.64,OK
bfs,cuda,mx350,100000x300000,9,4.865826,0.0000,23.05,OK
bfs,cuda,mx350,100000x300000,10,4.879570,0.0000,21.59,OK
bfs,cuda,mx350,500000x1000000,1,21.354834,0.0000,88.31,OK
bfs,cuda,mx350,500000x1000000,2,21.338040,0.0000,91.21,OK
bfs,cuda,mx350,500000x1000000,3,21.420090,0.0000,85.58,OK
bfs,cuda,mx350,500000x1000000,4,21.309596,0.0000,83.27,OK
bfs,cuda,mx350,500000x1000000,5,0.112103,0.0000,1.93,OK
bfs,cuda,mx350,500000x1000000,6,21.365816,0.0000,88.39,OK
bfs,cuda,mx350,500000x1000000,7,21.428543,0.0000,84.72,OK
bfs,cuda,mx350,500000x1000000,8,21.431705,0.0000,107.57,OK
bfs,cuda,mx350,500000x1000000,9,21.401613,0.0000,87.30,OK
bfs,cuda,mx350,500000x1000000,10,21.308811,0.0000,78.89,OK
