algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
bfs,cuda_dp,mx350,10000x30000,1,0.833963,0.0000,5.40,OK
bfs,cuda_dp,mx350,10000x30000,2,0.875173,0.0000,5.85,OK
bfs,cuda_dp,mx350,10000x30000,3,0.938374,0.0000,5.86,OK
bfs,cuda_dp,mx350,10000x30000,4,1.008025,0.0000,6.19,OK
bfs,cuda_dp,mx350,10000x30000,5,0.975932,0.0000,5.71,OK
bfs,cuda_dp,mx350,10000x30000,6,0.859325,0.0000,5.26,OK
bfs,cuda_dp,mx350,10000x30000,7,1.014190,0.0000,6.28,OK
bfs,cuda_dp,mx350,10000x30000,8,1.044144,0.0000,6.38,OK
bfs,cuda_dp,mx350,10000x30000,9,0.870473,0.0000,5.69,OK
bfs,cuda_dp,mx350,10000x30000,10,0.879828,0.0000,5.67,OK
bfs,cuda_dp,mx350,100000x300000,1,5.523073,0.0000,30.22,OK
bfs,cuda_dp,mx350,100000x300000,2,5.520720,0.0000,24.58,OK
bfs,cuda_dp,mx350,100000x300000,3,5.394614,0.0000,23.51,OK
bfs,cuda_dp,mx350,100000x300000,4,5.430620,0.0000,26.98,OK
bfs,cuda_dp,mx350,100000x300000,5,5.348047,0.0000,21.42,OK
bfs,cuda_dp,mx350,100000x300000,6,5.455894,0.0000,21.16,OK
bfs,cuda_dp,mx350,100000x300000,7,5.379355,0.0000,20.61,OK
bfs,cuda_dp,mx350,100000x300000,8,5.388735,0.0000,20.43,OK
bfs,cuda_dp,mx350,100000x300000,9,0.057421,0.0000,1.29,OK
bfs,cuda_dp,mx350,100000x300000,10,5.435569,0.0000,20.87,OK
bfs,cuda_dp,mx350,500000x1000000,1,0.117934,0.0000,1.97,OK
bfs,cuda_dp,mx350,500000x1000000,2,0.118296,0.0000,1.82,OK
bfs,cuda_dp,mx350,500000x1000000,3,0.154669,0.0000,2.12,OK
bfs,cuda_dp,mx350,500000x1000000,4,22.309710,0.0000,86.66,OK
bfs,cuda_dp,mx350,500000x1000000,5,22.298303,0.0000,77.19,OK
bfs,cuda_dp,mx350,500000x1000000,6,0.153090,0.0000,1.92,OK
bfs,cuda_dp,mx350,500000x1000000,7,22.401477,0.0000,85.20,OK
bfs,cuda_dp,mx350,500000x1000000,8,22.277498,0.0000,87.73,OK
bfs,cuda_dp,mx350,500000x1000000,9,22.444786,0.0000,77.98,OK
bfs,cuda_dp,mx350,500000x1000000,10,22.231636,0.0000,83.59,OK
