algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
bfs,openmp,mx350,10000x30000,1,9.115483,0.0000,46.97,OK
bfs,openmp,mx350,10000x30000,2,9.382549,0.0000,48.50,OK
bfs,openmp,mx350,10000x30000,3,9.594718,0.0000,49.90,OK
bfs,openmp,mx350,10000x30000,4,8.383524,0.0000,43.44,OK
bfs,openmp,mx350,10000x30000,5,8.906043,0.0000,45.86,OK
bfs,openmp,mx350,10000x30000,6,0.872288,0.0000,4.13,OK
bfs,openmp,mx350,10000x30000,7,9.091498,0.0000,46.96,OK
bfs,openmp,mx350,10000x30000,8,9.386962,0.0000,48.34,OK
bfs,openmp,mx350,10000x30000,9,8.980388,0.0000,46.27,OK
bfs,openmp,mx350,10000x30000,10,8.404326,0.0000,43.28,OK
bfs,openmp,mx350,100000x300000,1,88.684662,0.0000,465.27,OK
bfs,openmp,mx350,100000x300000,2,95.519694,0.0000,499.66,OK
bfs,openmp,mx350,100000x300000,3,91.992706,0.0000,442.49,OK
bfs,openmp,mx350,100000x300000,4,89.936544,0.0000,432.70,OK
bfs,openmp,mx350,100000x300000,5,90.594894,0.0000,437.03,OK
bfs,openmp,mx350,100000x300000,6,92.636465,0.0000,447.66,OK
bfs,openmp,mx350,100000x300000,7,107.942900,0.0000,520.24,OK
bfs,openmp,mx350,100000x300000,8,93.129961,0.0000,450.12,OK
bfs,openmp,mx350,100000x300000,9,88.013324,0.0000,423.94,OK
bfs,openmp,mx350,100000x300000,10,93.948904,0.0000,450.84,OK
bfs,openmp,mx350,500000x1000000,1,828.091694,0.0000,039.80,OK
bfs,openmp,mx350,500000x1000000,2,750.400883,0.0000,630.83,OK
bfs,openmp,mx350,500000x1000000,3,705.054388,0.0000,446.33,OK
bfs,openmp,mx350,500000x1000000,4,64.433498,0.0000,288.16,OK
bfs,openmp,mx350,500000x1000000,5,739.682644,0.0000,621.35,OK
bfs,openmp,mx350,500000x1000000,6,39.560805,0.0000,172.23,OK
bfs,openmp,mx350,500000x1000000,7,742.628021,0.0000,627.69,OK
bfs,openmp,mx350,500000x1000000,8,845.203615,0.0000,095.93,OK
bfs,openmp,mx350,500000x1000000,9,728.042818,0.0000,548.58,OK
bfs,openmp,mx350,500000x1000000,10,787.587372,0.0000,844.86,OK
