algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
mergesort,cuda,mx350,100,1,0.169009,0.0000,1.52,OK
mergesort,cuda,mx350,100,2,0.172650,0.0000,1.14,OK
mergesort,cuda,mx350,100,3,0.172835,0.0000,1.06,OK
mergesort,cuda,mx350,100,4,0.168201,0.0000,1.05,OK
mergesort,cuda,mx350,100,5,0.153376,0.0000,1.00,OK
mergesort,cuda,mx350,100,6,0.157417,0.0000,0.99,OK
mergesort,cuda,mx350,100,7,0.156356,0.0000,1.05,OK
mergesort,cuda,mx350,100,8,0.167445,0.0000,1.12,OK
mergesort,cuda,mx350,100,9,0.157043,0.0000,1.16,OK
mergesort,cuda,mx350,100,10,0.152197,0.0000,1.13,OK
mergesort,cuda,mx350,10000,1,7.969875,0.0000,25.19,OK
mergesort,cuda,mx350,10000,2,7.971409,0.0000,25.17,OK
mergesort,cuda,mx350,10000,3,7.972783,0.0000,25.05,OK
mergesort,cuda,mx350,10000,4,7.972057,0.0000,24.30,OK
mergesort,cuda,mx350,10000,5,7.976118,0.0000,24.06,OK
mergesort,cuda,mx350,10000,6,7.982303,0.0000,24.15,OK
mergesort,cuda,mx350,10000,7,7.984958,0.0000,23.74,OK
mergesort,cuda,mx350,10000,8,7.980905,0.0000,24.01,OK
mergesort,cuda,mx350,10000,9,7.973835,0.0000,23.46,OK
mergesort,cuda,mx350,10000,10,7.960951,0.0000,23.50,OK
mergesort,cuda,mx350,100000,1,74.295090,0.0000,205.67,OK
mergesort,cuda,mx350,100000,2,74.312800,0.0000,203.63,OK
mergesort,cuda,mx350,100000,3,74.308560,0.0000,206.90,OK
mergesort,cuda,mx350,100000,4,74.315381,0.0000,205.58,OK
mergesort,cuda,mx350,100000,5,74.313326,0.0000,204.59,OK
mergesort,cuda,mx350,100000,6,74.330353,0.0000,204.75,OK
mergesort,cuda,mx350,100000,7,74.310524,0.0000,203.37,OK
mergesort,cuda,mx350,100000,8,74.308569,0.0000,206.09,OK
mergesort,cuda,mx350,100000,9,74.280322,0.0000,205.72,OK
mergesort,cuda,mx350,100000,10,74.316718,0.0000,204.41,OK
