algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
mergesort,cuda_dp,mx350,100,1,0.668539,0.0000,4.32,OK
mergesort,cuda_dp,mx350,100,2,0.714734,0.0000,4.71,OK
mergesort,cuda_dp,mx350,100,3,0.678362,0.0000,3.84,OK
mergesort,cuda_dp,mx350,100,4,0.727556,0.0000,4.34,OK
mergesort,cuda_dp,mx350,100,5,0.616426,0.0000,3.51,OK
mergesort,cuda_dp,mx350,100,6,0.726750,0.0000,3.55,OK
mergesort,cuda_dp,mx350,100,7,0.650599,0.0000,3.62,OK
mergesort,cuda_dp,mx350,100,8,0.707327,0.0000,3.50,OK
mergesort,cuda_dp,mx350,100,9,0.688453,0.0000,4.71,OK
mergesort,cuda_dp,mx350,100,10,0.693216,0.0000,4.32,OK
mergesort,cuda_dp,mx350,10000,1,4742.091341,0.0000,362.71,OK
mergesort,cuda_dp,mx350,10000,2,4753.160155,0.0000,029.44,OK
mergesort,cuda_dp,mx350,10000,3,4749.301465,0.0000,944.47,OK
mergesort,cuda_dp,mx350,10000,4,4674.876170,0.0000,366.20,OK
mergesort,cuda_dp,mx350,10000,5,4752.296919,0.0000,345.34,OK
mergesort,cuda_dp,mx350,10000,6,4749.638683,0.0000,872.08,OK
mergesort,cuda_dp,mx350,10000,7,4651.193538,0.0000,762.97,OK
mergesort,cuda_dp,mx350,10000,8,4796.123066,0.0000,191.33,OK
mergesort,cuda_dp,mx350,10000,9,4753.693765,0.0000,001.63,OK
mergesort,cuda_dp,mx350,10000,10,4705.029626,0.0000,866.78,OK
mergesort,cuda_dp,mx350,100000,1,11935.727615,0.0000,475.52,OK
mergesort,cuda_dp,mx350,100000,2,11902.356596,0.0000,723.47,OK
mergesort,cuda_dp,mx350,100000,3,12011.021306,0.0000,442.99,OK
mergesort,cuda_dp,mx350,100000,4,11995.605467,0.0000,786.31,OK
mergesort,cuda_dp,mx350,100000,5,12000.394201,0.0000,971.93,OK
mergesort,cuda_dp,mx350,100000,6,12029.575539,0.0000,057.59,OK
mergesort,cuda_dp,mx350,100000,7,11863.978854,0.0000,603.44,OK
mergesort,cuda_dp,mx350,100000,8,12019.326162,0.0000,662.27,OK
mergesort,cuda_dp,mx350,100000,9,11990.703634,0.0000,515.21,OK
mergesort,cuda_dp,mx350,100000,10,11909.078856,0.0000,493.18,OK
