algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
mergesort,openmp,mx350,100,1,0.134012,0.0000,0.73,OK
mergesort,openmp,mx350,100,2,0.285140,0.0000,1.35,OK
mergesort,openmp,mx350,100,3,0.084432,0.0000,0.40,OK
mergesort,openmp,mx350,100,4,0.195438,0.0000,0.90,OK
mergesort,openmp,mx350,100,5,0.089123,0.0000,0.43,OK
mergesort,openmp,mx350,100,6,0.117737,0.0000,0.58,OK
mergesort,openmp,mx350,100,7,0.472306,0.0000,2.51,OK
mergesort,openmp,mx350,100,8,0.699785,0.0000,4.08,OK
mergesort,openmp,mx350,100,9,2.880346,0.0000,17.13,OK
mergesort,openmp,mx350,100,10,0.199630,0.0000,1.11,OK
mergesort,openmp,mx350,10000,1,10.837252,0.0000,63.78,OK
mergesort,openmp,mx350,10000,2,14.800086,0.0000,85.62,OK
mergesort,openmp,mx350,10000,3,8.420313,0.0000,48.61,OK
mergesort,openmp,mx350,10000,4,7.204094,0.0000,41.65,OK
mergesort,openmp,mx350,10000,5,10.046642,0.0000,59.83,OK
mergesort,openmp,mx350,10000,6,7.273812,0.0000,41.31,OK
mergesort,openmp,mx350,10000,7,8.378435,0.0000,47.42,OK
mergesort,openmp,mx350,10000,8,7.215560,0.0000,40.96,OK
mergesort,openmp,mx350,10000,9,7.331021,0.0000,41.80,OK
mergesort,openmp,mx350,10000,10,7.114070,0.0000,41.38,OK
mergesort,openmp,mx350,100000,1,73.013875,0.0000,421.21,OK
mergesort,openmp,mx350,100000,2,70.375521,0.0000,388.03,OK
mergesort,openmp,mx350,100000,3,67.088374,0.0000,346.83,OK
mergesort,openmp,mx350,100000,4,67.891438,0.0000,354.13,OK
mergesort,openmp,mx350,100000,5,68.697602,0.0000,359.62,OK
mergesort,openmp,mx350,100000,6,68.945338,0.0000,362.14,OK
mergesort,openmp,mx350,100000,7,67.883092,0.0000,349.26,OK
mergesort,openmp,mx350,100000,8,67.655952,0.0000,349.64,OK
mergesort,openmp,mx350,100000,9,66.568140,0.0000,344.90,OK
mergesort,openmp,mx350,100000,10,68.874150,0.0000,359.05,OK
