algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
quicksort,cuda,mx350,100,1,0.464393,0.0000,2.00,OK
quicksort,cuda,mx350,100,2,0.542303,0.0000,2.43,OK
quicksort,cuda,mx350,100,3,0.282514,0.0000,1.52,OK
quicksort,cuda,mx350,100,4,0.481337,0.0000,2.31,OK
quicksort,cuda,mx350,100,5,0.472863,0.0000,2.04,OK
quicksort,cuda,mx350,100,6,0.372252,0.0000,1.80,OK
quicksort,cuda,mx350,100,7,0.255431,0.0000,1.29,OK
quicksort,cuda,mx350,100,8,0.296236,0.0000,1.47,OK
quicksort,cuda,mx350,100,9,0.388902,0.0000,1.71,OK
quicksort,cuda,mx350,100,10,0.397732,0.0000,1.82,OK
quicksort,cuda,mx350,10000,1,14.211197,0.0000,40.40,OK
quicksort,cuda,mx350,10000,2,13.012734,0.0000,37.73,OK
quicksort,cuda,mx350,10000,3,13.543264,0.0000,37.98,OK
quicksort,cuda,mx350,10000,4,13.858200,0.0000,39.95,OK
quicksort,cuda,mx350,10000,5,11.463462,0.0000,33.08,OK
quicksort,cuda,mx350,10000,6,10.364715,0.0000,30.52,OK
quicksort,cuda,mx350,10000,7,14.622804,0.0000,41.96,OK
quicksort,cuda,mx350,10000,8,16.081574,0.0000,45.77,OK
quicksort,cuda,mx350,10000,9,14.655829,0.0000,42.39,OK
quicksort,cuda,mx350,10000,10,15.115516,0.0000,43.80,OK
quicksort,cuda,mx350,100000,1,143.422201,0.0000,396.40,OK
quicksort,cuda,mx350,100000,2,123.877550,0.0000,346.61,OK
quicksort,cuda,mx350,100000,3,139.795450,0.0000,384.36,OK
quicksort,cuda,mx350,100000,4,147.262619,0.0000,405.98,OK
quicksort,cuda,mx350,100000,5,100.273822,0.0000,275.38,OK
quicksort,cuda,mx350,100000,6,83.590430,0.0000,232.56,OK
quicksort,cuda,mx350,100000,7,115.515032,0.0000,316.62,OK
quicksort,cuda,mx350,100000,8,138.581981,0.0000,380.98,OK
quicksort,cuda,mx350,100000,9,105.484652,0.0000,291.57,OK
quicksort,cuda,mx350,100000,10,95.537825,0.0000,533.83,OK
