algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
quicksort,cuda_dp,mx350,100,1,1.152852,0.0000,5.96,OK
quicksort,cuda_dp,mx350,100,2,1.205104,0.0000,6.18,OK
quicksort,cuda_dp,mx350,100,3,1.176976,0.0000,5.82,OK
quicksort,cuda_dp,mx350,100,4,1.195235,0.0000,5.92,OK
quicksort,cuda_dp,mx350,100,5,1.328658,0.0000,6.52,OK
quicksort,cuda_dp,mx350,100,6,1.738224,0.0000,8.02,OK
quicksort,cuda_dp,mx350,100,7,1.022292,0.0000,5.22,OK
quicksort,cuda_dp,mx350,100,8,1.235503,0.0000,6.30,OK
quicksort,cuda_dp,mx350,100,9,1.351010,0.0000,6.74,OK
quicksort,cuda_dp,mx350,100,10,1.246155,0.0000,6.21,OK
quicksort,cuda_dp,mx350,10000,1,9.528275,0.0000,33.58,OK
quicksort,cuda_dp,mx350,10000,2,11.103359,0.0000,38.11,OK
quicksort,cuda_dp,mx350,10000,3,11.111638,0.0000,39.01,OK
quicksort,cuda_dp,mx350,10000,4,11.848665,0.0000,41.19,OK
quicksort,cuda_dp,mx350,10000,5,12.957903,0.0000,51.59,OK
quicksort,cuda_dp,mx350,10000,6,10.478397,0.0000,38.19,OK
quicksort,cuda_dp,mx350,10000,7,11.922625,0.0000,43.92,OK
quicksort,cuda_dp,mx350,10000,8,13.057491,0.0000,46.97,OK
quicksort,cuda_dp,mx350,10000,9,13.145587,0.0000,46.04,OK
quicksort,cuda_dp,mx350,10000,10,11.788587,0.0000,42.32,OK
quicksort,cuda_dp,mx350,100000,1,168.928010,0.0000,565.41,OK
quicksort,cuda_dp,mx350,100000,2,135.536573,0.0000,449.02,OK
quicksort,cuda_dp,mx350,100000,3,158.163874,0.0000,543.80,OK
quicksort,cuda_dp,mx350,100000,4,170.631281,0.0000,552.02,OK
quicksort,cuda_dp,mx350,100000,5,141.836782,0.0000,462.83,OK
quicksort,cuda_dp,mx350,100000,6,139.736820,0.0000,474.88,OK
quicksort,cuda_dp,mx350,100000,7,129.709768,0.0000,465.49,OK
quicksort,cuda_dp,mx350,100000,8,172.614175,0.0000,710.93,OK
quicksort,cuda_dp,mx350,100000,9,139.945847,0.0000,584.75,OK
quicksort,cuda_dp,mx350,100000,10,136.849534,0.0000,585.43,OK
