algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
quicksort,openmp,mx350,100,1,2.626361,0.0000,10.21,OK
quicksort,openmp,mx350,100,2,0.011488,0.0000,0.07,OK
quicksort,openmp,mx350,100,3,0.010903,0.0000,0.06,OK
quicksort,openmp,mx350,100,4,0.011828,0.0000,0.07,OK
quicksort,openmp,mx350,100,5,0.011334,0.0000,0.06,OK
quicksort,openmp,mx350,100,6,0.012711,0.0000,0.06,OK
quicksort,openmp,mx350,100,7,0.011745,0.0000,0.07,OK
quicksort,openmp,mx350,100,8,0.012020,0.0000,0.07,OK
quicksort,openmp,mx350,100,9,0.009408,0.0000,0.07,OK
quicksort,openmp,mx350,100,10,0.011220,0.0000,0.06,OK
quicksort,openmp,mx350,10000,1,1.094912,0.0000,4.96,OK
quicksort,openmp,mx350,10000,2,0.998271,0.0000,4.56,OK
quicksort,openmp,mx350,10000,3,1.118686,0.0000,5.02,OK
quicksort,openmp,mx350,10000,4,0.979030,0.0000,4.48,OK
quicksort,openmp,mx350,10000,5,1.078668,0.0000,4.87,OK
quicksort,openmp,mx350,10000,6,0.964542,0.0000,4.35,OK
quicksort,openmp,mx350,10000,7,1.026194,0.0000,4.67,OK
quicksort,openmp,mx350,10000,8,1.049663,0.0000,4.80,OK
quicksort,openmp,mx350,10000,9,1.664123,0.0000,6.98,OK
quicksort,openmp,mx350,10000,10,1.627479,0.0000,6.84,OK
quicksort,openmp,mx350,100000,1,9.914495,0.0000,47.22,OK
quicksort,openmp,mx350,100000,2,11.942352,0.0000,54.30,OK
quicksort,openmp,mx350,100000,3,15.472670,0.0000,68.53,OK
quicksort,openmp,mx350,100000,4,13.774234,0.0000,71.34,OK
quicksort,openmp,mx350,100000,5,13.967996,0.0000,72.00,OK
quicksort,openmp,mx350,100000,6,15.364700,0.0000,88.08,OK
quicksort,openmp,mx350,100000,7,11.688907,0.0000,61.09,OK
quicksort,openmp,mx350,100000,8,13.651335,0.0000,69.56,OK
quicksort,openmp,mx350,100000,9,11.572444,0.0000,57.97,OK
quicksort,openmp,mx350,100000,10,12.398702,0.0000,61.85,OK
