algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
sssp,cuda,mx350,1000x4000,1,0.443840,0.0000,2.86,OK
sssp,cuda,mx350,1000x4000,2,0.446783,0.0000,2.97,OK
sssp,cuda,mx350,1000x4000,3,0.562691,0.0000,3.61,OK
sssp,cuda,mx350,1000x4000,4,0.468314,0.0000,3.92,OK
sssp,cuda,mx350,1000x4000,5,0.408112,0.0000,2.62,OK
sssp,cuda,mx350,1000x4000,6,0.496195,0.0000,3.19,OK
sssp,cuda,mx350,1000x4000,7,0.494204,0.0000,3.19,OK
sssp,cuda,mx350,1000x4000,8,0.561817,0.0000,3.57,OK
sssp,cuda,mx350,1000x4000,9,0.494291,0.0000,3.17,OK
sssp,cuda,mx350,1000x4000,10,0.597053,0.0000,3.75,OK
sssp,cuda,mx350,10000x30000,1,0.817850,0.0000,5.09,OK
sssp,cuda,mx350,10000x30000,2,0.934121,0.0000,8.27,OK
sssp,cuda,mx350,10000x30000,3,0.744971,0.0000,5.77,OK
sssp,cuda,mx350,10000x30000,4,0.822898,0.0000,5.53,OK
sssp,cuda,mx350,10000x30000,5,0.792392,0.0000,6.53,OK
sssp,cuda,mx350,10000x30000,6,0.841140,0.0000,7.23,OK
sssp,cuda,mx350,10000x30000,7,0.913935,0.0000,8.47,OK
sssp,cuda,mx350,10000x30000,8,0.866578,0.0000,7.64,OK
sssp,cuda,mx350,10000x30000,9,0.925224,0.0000,6.74,OK
sssp,cuda,mx350,10000x30000,10,0.756658,0.0000,3.80,OK
sssp,cuda,mx350,100000x300000,1,6.250411,0.0000,23.99,OK
sssp,cuda,mx350,100000x300000,2,6.854648,0.0000,29.22,OK
sssp,cuda,mx350,100000x300000,3,6.795939,0.0000,28.35,OK
sssp,cuda,mx350,100000x300000,4,6.105862,0.0000,25.83,OK
sssp,cuda,mx350,100000x300000,5,6.168987,0.0000,24.55,OK
sssp,cuda,mx350,100000x300000,6,6.351795,0.0000,25.98,OK
sssp,cuda,mx350,100000x300000,7,6.122069,0.0000,25.75,OK
sssp,cuda,mx350,100000x300000,8,6.712628,0.0000,28.22,OK
sssp,cuda,mx350,100000x300000,9,6.122940,0.0000,24.43,OK
sssp,cuda,mx350,100000x300000,10,5.856842,0.0000,22.58,OK
sssp,cuda,mx350,200000x400000,1,24.340110,0.0000,101.35,OK
sssp,cuda,mx350,200000x400000,2,24.490321,0.0000,99.76,OK
sssp,cuda,mx350,200000x400000,3,25.277778,0.0000,101.42,OK
sssp,cuda,mx350,200000x400000,4,22.857013,0.0000,83.57,OK
sssp,cuda,mx350,200000x400000,5,25.779944,0.0000,95.82,OK
sssp,cuda,mx350,200000x400000,6,23.756986,0.0000,87.41,OK
sssp,cuda,mx350,200000x400000,7,27.286897,0.0000,99.23,OK
sssp,cuda,mx350,200000x400000,8,23.444483,0.0000,84.35,OK
sssp,cuda,mx350,200000x400000,9,25.228041,0.0000,110.08,OK
sssp,cuda,mx350,200000x400000,10,1.146567,0.0000,6.55,OK
