algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
sssp,cuda_dp,mx350,1000x4000,1,0.502818,0.0000,3.29,OK
sssp,cuda_dp,mx350,1000x4000,2,0.569601,0.0000,3.42,OK
sssp,cuda_dp,mx350,1000x4000,3,0.586784,0.0000,3.50,OK
sssp,cuda_dp,mx350,1000x4000,4,0.684794,0.0000,3.89,OK
sssp,cuda_dp,mx350,1000x4000,5,0.546770,0.0000,3.19,OK
sssp,cuda_dp,mx350,1000x4000,6,0.485852,0.0000,3.15,OK
sssp,cuda_dp,mx350,1000x4000,7,0.596856,0.0000,3.40,OK
sssp,cuda_dp,mx350,1000x4000,8,0.472884,0.0000,3.36,OK
sssp,cuda_dp,mx350,1000x4000,9,0.620721,0.0000,3.51,OK
sssp,cuda_dp,mx350,1000x4000,10,0.662256,0.0000,3.87,OK
sssp,cuda_dp,mx350,10000x30000,1,1.034183,0.0000,5.46,OK
sssp,cuda_dp,mx350,10000x30000,2,0.943751,0.0000,4.84,OK
sssp,cuda_dp,mx350,10000x30000,3,0.971258,0.0000,5.29,OK
sssp,cuda_dp,mx350,10000x30000,4,0.980433,0.0000,5.32,OK
sssp,cuda_dp,mx350,10000x30000,5,0.967514,0.0000,5.06,OK
sssp,cuda_dp,mx350,10000x30000,6,1.166146,0.0000,5.92,OK
sssp,cuda_dp,mx350,10000x30000,7,0.923183,0.0000,4.83,OK
sssp,cuda_dp,mx350,10000x30000,8,1.018414,0.0000,5.33,OK
sssp,cuda_dp,mx350,10000x30000,9,1.012673,0.0000,6.09,OK
sssp,cuda_dp,mx350,10000x30000,10,1.027222,0.0000,5.24,OK
sssp,cuda_dp,mx350,100000x300000,1,14.598242,0.0000,57.56,OK
sssp,cuda_dp,mx350,100000x300000,2,14.731129,0.0000,53.02,OK
sssp,cuda_dp,mx350,100000x300000,3,14.393705,0.0000,51.93,OK
sssp,cuda_dp,mx350,100000x300000,4,13.850280,0.0000,49.46,OK
sssp,cuda_dp,mx350,100000x300000,5,14.181882,0.0000,61.52,OK
sssp,cuda_dp,mx350,100000x300000,6,13.560278,0.0000,49.90,OK
sssp,cuda_dp,mx350,100000x300000,7,14.428570,0.0000,54.26,OK
sssp,cuda_dp,mx350,100000x300000,8,15.363431,0.0000,62.43,OK
sssp,cuda_dp,mx350,100000x300000,9,14.413694,0.0000,54.15,OK
sssp,cuda_dp,mx350,100000x300000,10,15.171796,0.0000,61.51,OK
sssp,cuda_dp,mx350,200000x400000,1,32.164260,0.0000,123.91,OK
sssp,cuda_dp,mx350,200000x400000,2,35.029597,0.0000,129.77,OK
sssp,cuda_dp,mx350,200000x400000,3,34.998778,0.0000,134.61,OK
sssp,cuda_dp,mx350,200000x400000,4,32.910060,0.0000,112.98,OK
sssp,cuda_dp,mx350,200000x400000,5,1.488339,0.0000,7.49,OK
sssp,cuda_dp,mx350,200000x400000,6,1.481892,0.0000,7.37,OK
sssp,cuda_dp,mx350,200000x400000,7,1.486962,0.0000,7.33,OK
sssp,cuda_dp,mx350,200000x400000,8,33.209789,0.0000,135.12,OK
sssp,cuda_dp,mx350,200000x400000,9,36.498947,0.0000,143.00,OK
sssp,cuda_dp,mx350,200000x400000,10,34.661757,0.0000,128.58,OK
