algoritmo,api,hardware,tamanho,iteracao,tempo_total_s,energia_gpu_j,energia_cpu_j,corretude
sssp,openmp,mx350,1000x4000,1,0.203014,0.0000,1.15,OK
sssp,openmp,mx350,1000x4000,2,0.197604,0.0000,1.14,OK
sssp,openmp,mx350,1000x4000,3,0.263666,0.0000,1.44,OK
sssp,openmp,mx350,1000x4000,4,0.256505,0.0000,1.44,OK
sssp,openmp,mx350,1000x4000,5,0.333271,0.0000,1.76,OK
sssp,openmp,mx350,1000x4000,6,0.244876,0.0000,1.33,OK
sssp,openmp,mx350,1000x4000,7,0.285447,0.0000,1.56,OK
sssp,openmp,mx350,1000x4000,8,0.211545,0.0000,1.21,OK
sssp,openmp,mx350,1000x4000,9,0.226688,0.0000,1.29,OK
sssp,openmp,mx350,1000x4000,10,0.190655,0.0000,1.07,OK
sssp,openmp,mx350,10000x30000,1,1.236123,0.0000,7.50,OK
sssp,openmp,mx350,10000x30000,2,1.096486,0.0000,6.84,OK
sssp,openmp,mx350,10000x30000,3,1.088648,0.0000,6.70,OK
sssp,openmp,mx350,10000x30000,4,1.104967,0.0000,6.75,OK
sssp,openmp,mx350,10000x30000,5,1.125042,0.0000,7.04,OK
sssp,openmp,mx350,10000x30000,6,0.207987,0.0000,0.85,OK
sssp,openmp,mx350,10000x30000,7,0.262829,0.0000,1.14,OK
sssp,openmp,mx350,10000x30000,8,1.165151,0.0000,7.34,OK
sssp,openmp,mx350,10000x30000,9,1.158576,0.0000,7.08,OK
sssp,openmp,mx350,10000x30000,10,1.214679,0.0000,7.70,OK
sssp,openmp,mx350,100000x300000,1,10.517989,0.0000,82.59,OK
sssp,openmp,mx350,100000x300000,2,10.931660,0.0000,85.88,OK
sssp,openmp,mx350,100000x300000,3,10.330336,0.0000,82.00,OK
sssp,openmp,mx350,100000x300000,4,10.292856,0.0000,81.16,OK
sssp,openmp,mx350,100000x300000,5,10.322183,0.0000,81.32,OK
sssp,openmp,mx350,100000x300000,6,10.528531,0.0000,83.13,OK
sssp,openmp,mx350,100000x300000,7,10.662288,0.0000,84.20,OK
sssp,openmp,mx350,100000x300000,8,11.861327,0.0000,90.82,OK
sssp,openmp,mx350,100000x300000,9,10.616501,0.0000,83.97,OK
sssp,openmp,mx350,100000x300000,10,11.517020,0.0000,91.86,OK
sssp,openmp,mx350,200000x400000,1,21.085933,0.0000,168.03,OK
sssp,openmp,mx350,200000x400000,2,23.454251,0.0000,188.59,OK
sssp,openmp,mx350,200000x400000,3,22.138908,0.0000,176.96,OK
sssp,openmp,mx350,200000x400000,4,21.283806,0.0000,169.71,OK
sssp,openmp,mx350,200000x400000,5,4.361731,0.0000,18.62,OK
sssp,openmp,mx350,200000x400000,6,4.216349,0.0000,18.14,OK
sssp,openmp,mx350,200000x400000,7,25.064296,0.0000,202.90,OK
sssp,openmp,mx350,200000x400000,8,23.923647,0.0000,192.71,OK
sssp,openmp,mx350,200000x400000,9,23.461884,0.0000,188.43,OK
sssp,openmp,mx350,200000x400000,10,23.876508,0.0000,191.32,OK
