sep=|
algoritmo|api|cenario|tamanho|iteracao|tempo_s|corretude|threads_blocos
bitonic_sort|cpu|aleatorio|1024|1|0,000087|1|1x1
bitonic_sort|cpu|aleatorio|1024|2|0,000082|1|1x1
bitonic_sort|cpu|aleatorio|1024|3|0,000080|1|1x1
bitonic_sort|cpu|aleatorio|1024|4|0,000078|1|1x1
bitonic_sort|cpu|aleatorio|1024|5|0,000077|1|1x1
bitonic_sort|cpu|aleatorio|1024|6|0,000077|1|1x1
bitonic_sort|cpu|aleatorio|1024|7|0,000059|1|1x1
bitonic_sort|cpu|aleatorio|1024|8|0,000045|1|1x1
bitonic_sort|cpu|aleatorio|1024|9|0,000043|1|1x1
bitonic_sort|cpu|aleatorio|1024|10|0,000042|1|1x1
bitonic_sort|cpu|aleatorio|4096|1|0,000433|1|1x1
bitonic_sort|cpu|aleatorio|4096|2|0,000331|1|1x1
bitonic_sort|cpu|aleatorio|4096|3|0,000291|1|1x1
bitonic_sort|cpu|aleatorio|4096|4|0,000291|1|1x1
bitonic_sort|cpu|aleatorio|4096|5|0,000294|1|1x1
bitonic_sort|cpu|aleatorio|4096|6|0,000292|1|1x1
bitonic_sort|cpu|aleatorio|4096|7|0,000290|1|1x1
bitonic_sort|cpu|aleatorio|4096|8|0,000288|1|1x1
bitonic_sort|cpu|aleatorio|4096|9|0,000291|1|1x1
bitonic_sort|cpu|aleatorio|4096|10|0,000289|1|1x1
bitonic_sort|cpu|aleatorio|16384|1|0,002065|1|1x1
bitonic_sort|cpu|aleatorio|16384|2|0,001495|1|1x1
bitonic_sort|cpu|aleatorio|16384|3|0,001456|1|1x1
bitonic_sort|cpu|aleatorio|16384|4|0,001455|1|1x1
bitonic_sort|cpu|aleatorio|16384|5|0,001456|1|1x1
bitonic_sort|cpu|aleatorio|16384|6|0,001456|1|1x1
bitonic_sort|cpu|aleatorio|16384|7|0,001457|1|1x1
bitonic_sort|cpu|aleatorio|16384|8|0,001459|1|1x1
bitonic_sort|cpu|aleatorio|16384|9|0,001456|1|1x1
bitonic_sort|cpu|aleatorio|16384|10|0,001456|1|1x1
bitonic_sort|cpu|aleatorio|65536|1|0,006984|1|1x1
bitonic_sort|cpu|aleatorio|65536|2|0,006976|1|1x1
bitonic_sort|cpu|aleatorio|65536|3|0,006976|1|1x1
bitonic_sort|cpu|aleatorio|65536|4|0,006969|1|1x1
bitonic_sort|cpu|aleatorio|65536|5|0,006976|1|1x1
bitonic_sort|cpu|aleatorio|65536|6|0,006967|1|1x1
bitonic_sort|cpu|aleatorio|65536|7|0,006976|1|1x1
bitonic_sort|cpu|aleatorio|65536|8|0,006968|1|1x1
bitonic_sort|cpu|aleatorio|65536|9|0,006977|1|1x1
bitonic_sort|cpu|aleatorio|65536|10|0,006989|1|1x1
bitonic_sort|cpu|aleatorio|262144|1|0,033350|1|1x1
bitonic_sort|cpu|aleatorio|262144|2|0,032846|1|1x1
bitonic_sort|cpu|aleatorio|262144|3|0,032876|1|1x1
bitonic_sort|cpu|aleatorio|262144|4|0,032838|1|1x1
bitonic_sort|cpu|aleatorio|262144|5|0,032852|1|1x1
bitonic_sort|cpu|aleatorio|262144|6|0,032822|1|1x1
bitonic_sort|cpu|aleatorio|262144|7|0,032825|1|1x1
bitonic_sort|cpu|aleatorio|262144|8|0,032876|1|1x1
bitonic_sort|cpu|aleatorio|262144|9|0,032853|1|1x1
bitonic_sort|cpu|aleatorio|262144|10|0,032847|1|1x1
bitonic_sort|cpu|aleatorio|1048576|1|0,152578|1|1x1
bitonic_sort|cpu|aleatorio|1048576|2|0,152549|1|1x1
bitonic_sort|cpu|aleatorio|1048576|3|0,152710|1|1x1
bitonic_sort|cpu|aleatorio|1048576|4|0,151815|1|1x1
bitonic_sort|cpu|aleatorio|1048576|5|0,152486|1|1x1
bitonic_sort|cpu|aleatorio|1048576|6|0,152653|1|1x1
bitonic_sort|cpu|aleatorio|1048576|7|0,152532|1|1x1
bitonic_sort|cpu|aleatorio|1048576|8|0,152570|1|1x1
bitonic_sort|cpu|aleatorio|1048576|9|0,152519|1|1x1
bitonic_sort|cpu|aleatorio|1048576|10|0,152550|1|1x1
