algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
bfs|cuda|rtx4090|100000x300000|1|0,442014|59,7161|40,38|OK
bfs|cuda|rtx4090|100000x300000|2|0,037001|5,1165|7,99|OK
bfs|cuda|rtx4090|100000x300000|3|0,420537|54,9053|40,59|OK
bfs|cuda|rtx4090|100000x300000|4|0,40629|55,938|38,1|OK
bfs|cuda|rtx4090|100000x300000|5|0,437304|59,9675|40,4|OK
bfs|cuda|rtx4090|100000x300000|6|0,425444|58,0731|38,97|OK
bfs|cuda|rtx4090|100000x300000|7|0,440493|60,6339|40,15|OK
bfs|cuda|rtx4090|100000x300000|8|0,453532|62,7099|40,96|OK
bfs|cuda|rtx4090|100000x300000|9|0,480647|66,5167|43,77|OK
bfs|cuda|rtx4090|100000x300000|10|0,453466|63,0182|42,01|OK
bfs|cuda|rtx4090|10000x30000|1|0,355492|50,0035|33,33|OK
bfs|cuda|rtx4090|10000x30000|2|0,331804|44,9727|31,87|OK
bfs|cuda|rtx4090|10000x30000|3|0,345206|46,5096|29,38|OK
bfs|cuda|rtx4090|10000x30000|4|0,336882|45,5363|30,12|OK
bfs|cuda|rtx4090|10000x30000|5|0,298357|40,2334|27,78|OK
bfs|cuda|rtx4090|10000x30000|6|0,341839|46,0081|31,81|OK
bfs|cuda|rtx4090|10000x30000|7|0,3288|44,3847|29,8|OK
bfs|cuda|rtx4090|10000x30000|8|0,357908|47,6877|32,32|OK
bfs|cuda|rtx4090|10000x30000|9|0,353247|47,6566|32,51|OK
bfs|cuda|rtx4090|10000x30000|10|0,355115|47,699|32,34|OK
bfs|cuda|rtx4090|500000x1000000|1|0,803143|111,0586|75,59|OK
bfs|cuda|rtx4090|500000x1000000|2|0,856026|128,6607|76,73|OK
bfs|cuda|rtx4090|500000x1000000|3|0,884973|134,0292|77,83|OK
bfs|cuda|rtx4090|500000x1000000|4|0,778977|117,7034|70,61|OK
bfs|cuda|rtx4090|500000x1000000|5|0,844025|127,7685|74,12|OK
bfs|cuda|rtx4090|500000x1000000|6|0,025585|3,8314|8,94|OK
bfs|cuda|rtx4090|500000x1000000|7|0,025652|3,3825|8,2|OK
bfs|cuda|rtx4090|500000x1000000|8|0,876992|110,9395|78,6|OK
bfs|cuda|rtx4090|500000x1000000|9|0,783163|113,4098|70,8|OK
bfs|cuda|rtx4090|500000x1000000|10|0,930313|140,4633|82,94|OK
bfs|openmp|rtx4090|100000x300000|1|37,517152|1472,0941|4355,03|OK
bfs|openmp|rtx4090|100000x300000|2|41,961503|1649,4667|4874,31|OK
bfs|openmp|rtx4090|100000x300000|3|33,812509|1330,8305|3967,53|OK
bfs|openmp|rtx4090|100000x300000|4|40,487315|1595,9705|4695,25|OK
bfs|openmp|rtx4090|100000x300000|5|35,824488|1411,9625|4139,09|OK
bfs|openmp|rtx4090|100000x300000|6|34,286536|1351,0071|3963,67|OK
bfs|openmp|rtx4090|100000x300000|7|35,954807|1418,4071|4164,99|OK
bfs|openmp|rtx4090|100000x300000|8|35,441801|1395,4225|4106,22|OK
bfs|openmp|rtx4090|100000x300000|9|36,2649|1428,5136|4194,41|OK
bfs|openmp|rtx4090|100000x300000|10|36,257781|1425,7441|4203,86|OK
bfs|openmp|rtx4090|10000x30000|1|3,99816|156,1921|451,66|OK
bfs|openmp|rtx4090|10000x30000|2|3,901962|152,2448|435,2|OK
bfs|openmp|rtx4090|10000x30000|3|3,474177|135,2584|385,66|OK
bfs|openmp|rtx4090|10000x30000|4|3,361293|130,9644|383,43|OK
bfs|openmp|rtx4090|10000x30000|5|3,203481|125,0879|367,11|OK
bfs|openmp|rtx4090|10000x30000|6|3,940478|153,8658|442,51|OK
bfs|openmp|rtx4090|10000x30000|7|3,902905|152,3304|440,26|OK
bfs|openmp|rtx4090|10000x30000|8|2,981461|116,9105|330,85|OK
bfs|openmp|rtx4090|10000x30000|9|3,314359|129,8566|368,78|OK
bfs|openmp|rtx4090|10000x30000|10|3,312191|129,1092|369,16|OK
bfs|openmp|rtx4090|500000x1000000|1|296,972814|11714,5976|34291,88|OK
bfs|openmp|rtx4090|500000x1000000|2|372,611469|14700,871|42837,05|OK
bfs|openmp|rtx4090|500000x1000000|3|296,451115|11704,4789|34402,8|OK
bfs|openmp|rtx4090|500000x1000000|4|427,716994|30086,4328|49403,31|OK
bfs|openmp|rtx4090|500000x1000000|5|408,999201|48577,5151|47716,9|OK
bfs|openmp|rtx4090|500000x1000000|6|396,588795|44825,6123|46224,52|OK
bfs|openmp|rtx4090|500000x1000000|7|328,300105|37500,6932|38400,17|OK
bfs|openmp|rtx4090|500000x1000000|8|390,376921|43911,4232|45336,48|OK
bfs|openmp|rtx4090|500000x1000000|9|404,281168|45797,5597|47196,69|OK
bfs|openmp|rtx4090|500000x1000000|10|317,902159|38337,051|37275,95|OK
mergesort|cuda|rtx4090|100|1|0,102912|16,1098|14,0|OK
mergesort|cuda|rtx4090|100|2|0,062223|10,5785|11,53|OK
mergesort|cuda|rtx4090|100|3|0,099878|16,9563|10,86|OK
mergesort|cuda|rtx4090|100|4|0,06057|10,504|8,28|OK
mergesort|cuda|rtx4090|100|5|0,100262|17,4396|11,36|OK
mergesort|cuda|rtx4090|100|6|0,101459|16,4485|11,06|OK
mergesort|cuda|rtx4090|100|7|0,061902|10,5165|11,2|OK
mergesort|cuda|rtx4090|100|8|0,101343|17,1959|11,34|OK
mergesort|cuda|rtx4090|100|9|0,101234|17,3657|11,68|OK
mergesort|cuda|rtx4090|100|10|0,101931|17,8593|11,38|OK
mergesort|cuda|rtx4090|10000|1|3,771427|661,282|288,42|OK
mergesort|cuda|rtx4090|10000|2|3,694055|656,7383|281,59|OK
mergesort|cuda|rtx4090|10000|3|2,931424|429,952|236,93|OK
mergesort|cuda|rtx4090|10000|4|2,921116|422,1402|238,54|OK
mergesort|cuda|rtx4090|10000|5|2,922433|420,3043|245,11|OK
mergesort|cuda|rtx4090|10000|6|2,92794|420,5888|242,59|OK
mergesort|cuda|rtx4090|10000|7|2,923629|418,9268|237,46|OK
mergesort|cuda|rtx4090|10000|8|2,923633|419,5121|243,28|OK
mergesort|cuda|rtx4090|10000|9|2,928436|419,762|240,96|OK
mergesort|cuda|rtx4090|10000|10|2,924941|420,5285|243,59|OK
mergesort|cuda|rtx4090|100000|1|25,395597|3595,7528|2020,61|OK
mergesort|cuda|rtx4090|100000|2|31,313027|5306,3251|2300,23|OK
mergesort|cuda|rtx4090|100000|3|32,039331|5577,0281|2399,79|OK
